學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,學生數,年份
3,國立臺灣大學,02311007,外國語文學系,D 日,B 學士,567,109
3,國立臺灣大學,02311009,日本語文學系,D 日,B 學士,259,109
3,國立臺灣大學,02322006,中國文學系,D 日,B 學士,332,109
3,國立臺灣大學,03111015,經濟學系,D 日,B 學士,595,109
3,國立臺灣大學,03121016,政治學系,D 日,B 學士,747,109
3,國立臺灣大學,03131019,心理學系,D 日,B 學士,304,109
3,國立臺灣大學,03141018,社會學系,D 日,B 學士,218,109
3,國立臺灣大學,03142021,地理環境資源學系,D 日,B 學士,167,109
3,國立臺灣大學,03222025,圖書資訊學系,D 日,B 學士,203,109
3,國立臺灣大學,04111027,會計學系,D 日,B 學士,558,109
3,國立臺灣大學,04121032,財務金融學系,D 日,B 學士,554,109
3,國立臺灣大學,04131028,企業管理學系,P 進,B 學士,-,109
3,國立臺灣大學,04131029,工商管理學系,D 日,B 學士,446,109
3,國立臺灣大學,04131031,國際企業學系,D 日,B 學士,384,109
3,國立臺灣大學,04211035,法律學系,D 日,B 學士,841,109
3,國立臺灣大學,05111038,生命科學系,D 日,B 學士,204,109
3,國立臺灣大學,05111041,昆蟲學系,D 日,B 學士,100,109
3,國立臺灣大學,05121151,生化科技學系,D 日,B 學士,155,109
3,國立臺灣大學,05311051,化學系,D 日,B 學士,264,109
3,國立臺灣大學,05321052,地質科學系,D 日,B 學士,148,109
3,國立臺灣大學,05322056,大氣科學系,D 日,B 學士,142,109
3,國立臺灣大學,05331054,物理學系,D 日,B 學士,260,109
3,國立臺灣大學,05411059,數學系,D 日,B 學士,202,109
3,國立臺灣大學,06131062,資訊管理學系,D 日,B 學士,219,109
3,國立臺灣大學,06131067,資訊工程學系,D 日,B 學士,582,109
3,國立臺灣大學,07111076,化學工程學系,D 日,B 學士,433,109
3,國立臺灣大學,07112078,材料科學與工程學系,D 日,B 學士,207,109
3,國立臺灣大學,07141064,電機工程學系,D 日,B 學士,842,109
3,國立臺灣大學,07151069,機械工程學系,D 日,B 學士,621,109
3,國立臺灣大學,07151082,工程科學及海洋工程學系,D 日,B 學士,200,109
3,國立臺灣大學,07151161,生物機電工程學系,D 日,B 學士,169,109
3,國立臺灣大學,07193083,醫學工程學系,D 日,B 學士,56,109
3,國立臺灣大學,07321074,土木工程學系,D 日,B 學士,445,109
3,國立臺灣大學,07321075,生物環境系統工程學系,D 日,B 學士,191,109
3,國立臺灣大學,08111087,農藝學系,D 日,B 學士,153,109
3,國立臺灣大學,08112089,動物科學技術學系,D 日,B 學士,128,109
3,國立臺灣大學,08121091,園藝暨景觀學系,D 日,B 學士,197,109
3,國立臺灣大學,08191100,農業化學系,D 日,B 學士,157,109
3,國立臺灣大學,08193096,農業經濟學系,D 日,B 學士,191,109
3,國立臺灣大學,08193098,生物產業傳播暨發展學系,D 日,B 學士,272,109
3,國立臺灣大學,08194094,植物病理與微生物學系,D 日,B 學士,115,109
3,國立臺灣大學,08211102,森林環境暨資源學系,D 日,B 學士,247,109
3,國立臺灣大學,08411104,獸醫學系,D 日,B 學士,363,109
3,國立臺灣大學,09111137,牙醫學系,D 日,B 學士,217,109
3,國立臺灣大學,09121107,醫學系,D 日,B 學士,913,109
3,國立臺灣大學,09131134,護理學系(含學士後護理學系),D 日,B 學士,236,109
3,國立臺灣大學,09141136,醫學檢驗暨生物技術學系,D 日,B 學士,151,109
3,國立臺灣大學,09151132,物理治療學系,D 日,B 學士,188,109
3,國立臺灣大學,09152133,職能治療學系,D 日,B 學士,175,109
3,國立臺灣大學,09161129,藥學系,D 日,B 學士,269,109
3,國立臺灣大學,09191122,公共衛生學系,D 日,B 學士,160,109
3,國立臺灣大學,09231144,社會工作學系,D 日,B 學士,210,109
4,國立臺灣師範大學,01111001,教育學系,D 日,B 學士,267,109
4,國立臺灣師範大學,01113018,特殊教育學系,D 日,B 學士,167,109
4,國立臺灣師範大學,01116079,學習科學學士學位學程,D 日,B 學士,61,109
4,國立臺灣師範大學,01121086,學士後學位學程教保員專班,D 日,B 學士,39,109
4,國立臺灣師範大學,01131004,公民教育與活動領導學系,D 日,B 學士,364,109
4,國立臺灣師範大學,01131009,社會教育學系,D 日,B 學士,227,109
4,國立臺灣師範大學,01131017,健康促進與衛生教育學系,D 日,B 學士,172,109
4,國立臺灣師範大學,01141007,人類發展與家庭學系,D 日,B 學士,308,109
4,國立臺灣師範大學,01141010,工業教育學系,D 日,B 學士,144,109
4,國立臺灣師範大學,01141015,體育學系,D 日,B 學士,257,109
4,國立臺灣師範大學,01199021,教育學院學士班,D 日,B 學士,44,109
4,國立臺灣師範大學,01199022,科技應用與人力資源發展學系,D 日,B 學士,234,109
4,國立臺灣師範大學,02112037,設計學系,D 日,B 學士,161,109
4,國立臺灣師範大學,02131023,美術學系,D 日,B 學士,195,109
4,國立臺灣師範大學,02151024,音樂學系,D 日,B 學士,281,109
4,國立臺灣師範大學,02152027,表演藝術學士學位學程,D 日,B 學士,86,109
4,國立臺灣師範大學,02221035,歷史學系,D 日,B 學士,243,109
4,國立臺灣師範大學,02311033,英語學系,D 日,B 學士,309,109
4,國立臺灣師範大學,02313005,華語文教學系,D 日,B 學士,418,109
4,國立臺灣師範大學,02321028,臺灣語文學系,D 日,B 學士,88,109
