統計期,畢業年,學位,學門,薪資
112年 1月,110年畢業,碩士,社會及行為科學學門,46295.0
112年 1月,111年畢業,碩士,社會及行為科學學門,45237.0
112年 7月,109年畢業,碩士,社會及行為科學學門,49516.0
112年 7月,110年畢業,碩士,社會及行為科學學門,47315.0
112年 7月,111年畢業,碩士,社會及行為科學學門,46024.0
112年 7月,112年畢業,碩士,社會及行為科學學門,46094.0
113年 1月,109年畢業,碩士,社會及行為科學學門,50796.0
113年 1月,110年畢業,碩士,社會及行為科學學門,48776.0
113年 1月,111年畢業,碩士,社會及行為科學學門,47522.0
113年 1月,112年畢業,碩士,社會及行為科學學門,45907.0
113年 7月,109年畢業,碩士,社會及行為科學學門,52787.0
113年 7月,110年畢業,碩士,社會及行為科學學門,51082.0
113年 7月,111年畢業,碩士,社會及行為科學學門,49743.0
113年 7月,112年畢業,碩士,社會及行為科學學門,47552.0
113年 7月,113年畢業,碩士,社會及行為科學學門,49989.0
114年 1月,109年畢業,碩士,社會及行為科學學門,54158.0
114年 1月,110年畢業,碩士,社會及行為科學學門,52680.0
114年 1月,111年畢業,碩士,社會及行為科學學門,51011.0
114年 1月,112年畢業,碩士,社會及行為科學學門,49131.0
114年 1月,113年畢業,碩士,社會及行為科學學門,48888.0
114年 7月,109年畢業,碩士,社會及行為科學學門,55516.0
114年 7月,110年畢業,碩士,社會及行為科學學門,54326.0
114年 7月,111年畢業,碩士,社會及行為科學學門,52784.0
114年 7月,112年畢業,碩士,社會及行為科學學門,50358.0
114年 7月,113年畢業,碩士,社會及行為科學學門,49595.0
112年 1月,109年畢業,碩士,新聞學及圖書資訊學門,47024.0
112年 1月,110年畢業,碩士,新聞學及圖書資訊學門,46227.0
112年 1月,111年畢業,碩士,新聞學及圖書資訊學門,45555.0
112年 7月,109年畢業,碩士,新聞學及圖書資訊學門,50217.0
112年 7月,110年畢業,碩士,新聞學及圖書資訊學門,47146.0
112年 7月,111年畢業,碩士,新聞學及圖書資訊學門,46237.0
112年 7月,112年畢業,碩士,新聞學及圖書資訊學門,45346.0
113年 1月,109年畢業,碩士,新聞學及圖書資訊學門,51463.0
113年 1月,110年畢業,碩士,新聞學及圖書資訊學門,49217.0
113年 1月,111年畢業,碩士,新聞學及圖書資訊學門,47356.0
113年 1月,112年畢業,碩士,新聞學及圖書資訊學門,44785.0
113年 7月,109年畢業,碩士,新聞學及圖書資訊學門,51870.0
113年 7月,110年畢業,碩士,新聞學及圖書資訊學門,51225.0
113年 7月,111年畢業,碩士,新聞學及圖書資訊學門,49806.0
113年 7月,112年畢業,碩士,新聞學及圖書資訊學門,45763.0
113年 7月,113年畢業,碩士,新聞學及圖書資訊學門,48523.0
114年 1月,109年畢業,碩士,新聞學及圖書資訊學門,53653.0
114年 1月,110年畢業,碩士,新聞學及圖書資訊學門,52411.0
114年 1月,111年畢業,碩士,新聞學及圖書資訊學門,51333.0
114年 1月,112年畢業,碩士,新聞學及圖書資訊學門,47311.0
114年 1月,113年畢業,碩士,新聞學及圖書資訊學門,46982.0
114年 7月,109年畢業,碩士,新聞學及圖書資訊學門,55709.0
114年 7月,110年畢業,碩士,新聞學及圖書資訊學門,54551.0
114年 7月,111年畢業,碩士,新聞學及圖書資訊學門,53282.0
114年 7月,112年畢業,碩士,新聞學及圖書資訊學門,49766.0
114年 7月,113年畢業,碩士,新聞學及圖書資訊學門,48318.0
112年 1月,109年畢業,碩士,商業及管理學門,60085.0
112年 1月,110年畢業,碩士,商業及管理學門,59202.0
112年 1月,111年畢業,碩士,商業及管理學門,58770.0
112年 7月,109年畢業,碩士,商業及管理學門,61272.0
112年 7月,110年畢業,碩士,商業及管理學門,60627.0
112年 7月,111年畢業,碩士,商業及管理學門,59264.0
112年 7月,112年畢業,碩士,商業及管理學門,63404.0
113年 1月,109年畢業,碩士,商業及管理學門,62908.0
113年 1月,110年畢業,碩士,商業及管理學門,61762.0
