統計期,畢業年,學位,學門,薪資
112年 7月,111年畢業,學士,社會及行為科學學門,34985.0
112年 7月,112年畢業,學士,社會及行為科學學門,32838.0
113年 1月,109年畢業,學士,社會及行為科學學門,40073.0
113年 1月,110年畢業,學士,社會及行為科學學門,38581.0
113年 1月,111年畢業,學士,社會及行為科學學門,36814.0
113年 1月,112年畢業,學士,社會及行為科學學門,34649.0
113年 7月,109年畢業,學士,社會及行為科學學門,41849.0
113年 7月,110年畢業,學士,社會及行為科學學門,39948.0
113年 7月,111年畢業,學士,社會及行為科學學門,38271.0
113年 7月,112年畢業,學士,社會及行為科學學門,36316.0
113年 7月,113年畢業,學士,社會及行為科學學門,34663.0
114年 1月,109年畢業,學士,社會及行為科學學門,43753.0
114年 1月,110年畢業,學士,社會及行為科學學門,41581.0
114年 1月,111年畢業,學士,社會及行為科學學門,40185.0
114年 1月,112年畢業,學士,社會及行為科學學門,38203.0
114年 1月,113年畢業,學士,社會及行為科學學門,36374.0
114年 7月,109年畢業,學士,社會及行為科學學門,45289.0
114年 7月,110年畢業,學士,社會及行為科學學門,43094.0
114年 7月,111年畢業,學士,社會及行為科學學門,41959.0
114年 7月,112年畢業,學士,社會及行為科學學門,39701.0
114年 7月,113年畢業,學士,社會及行為科學學門,37535.0
112年 1月,109年畢業,學士,新聞學及圖書資訊學門,34169.0
112年 1月,110年畢業,學士,新聞學及圖書資訊學門,32305.0
112年 1月,111年畢業,學士,新聞學及圖書資訊學門,31002.0
112年 7月,109年畢業,學士,新聞學及圖書資訊學門,35261.0
112年 7月,110年畢業,學士,新聞學及圖書資訊學門,33561.0
112年 7月,111年畢業,學士,新聞學及圖書資訊學門,32092.0
112年 7月,112年畢業,學士,新聞學及圖書資訊學門,31329.0
113年 1月,109年畢業,學士,新聞學及圖書資訊學門,36869.0
113年 1月,110年畢業,學士,新聞學及圖書資訊學門,35289.0
113年 1月,111年畢業,學士,新聞學及圖書資訊學門,33541.0
113年 1月,112年畢業,學士,新聞學及圖書資訊學門,32383.0
113年 7月,109年畢業,學士,新聞學及圖書資訊學門,38283.0
113年 7月,110年畢業,學士,新聞學及圖書資訊學門,36702.0
113年 7月,111年畢業,學士,新聞學及圖書資訊學門,35043.0
