統計期,畢業年,學位,學門,薪資
113年 1月,110年畢業,學士,獸醫學門,38140.0
113年 1月,111年畢業,學士,獸醫學門,36831.0
113年 1月,112年畢業,學士,獸醫學門,34641.0
113年 7月,109年畢業,學士,獸醫學門,43882.0
113年 7月,110年畢業,學士,獸醫學門,40178.0
113年 7月,111年畢業,學士,獸醫學門,38422.0
113年 7月,112年畢業,學士,獸醫學門,36416.0
113年 7月,113年畢業,學士,獸醫學門,28646.0
114年 1月,109年畢業,學士,獸醫學門,45856.0
114年 1月,110年畢業,學士,獸醫學門,42982.0
114年 1月,111年畢業,學士,獸醫學門,40048.0
114年 1月,112年畢業,學士,獸醫學門,37145.0
114年 1月,113年畢業,學士,獸醫學門,33981.0
114年 7月,109年畢業,學士,獸醫學門,48304.0
114年 7月,110年畢業,學士,獸醫學門,44642.0
114年 7月,111年畢業,學士,獸醫學門,42167.0
114年 7月,112年畢業,學士,獸醫學門,38926.0
114年 7月,113年畢業,學士,獸醫學門,36913.0
112年 1月,109年畢業,學士,醫藥衛生學門,48301.0
112年 1月,110年畢業,學士,醫藥衛生學門,47050.0
112年 1月,111年畢業,學士,醫藥衛生學門,41869.0
112年 7月,109年畢業,學士,醫藥衛生學門,49118.0
112年 7月,110年畢業,學士,醫藥衛生學門,47566.0
112年 7月,111年畢業,學士,醫藥衛生學門,44895.0
112年 7月,112年畢業,學士,醫藥衛生學門,40179.0
113年 1月,109年畢業,學士,醫藥衛生學門,51411.0
113年 1月,110年畢業,學士,醫藥衛生學門,49560.0
113年 1月,111年畢業,學士,醫藥衛生學門,47850.0
113年 1月,112年畢業,學士,醫藥衛生學門,43543.0
113年 7月,109年畢業,學士,醫藥衛生學門,53119.0
113年 7月,110年畢業,學士,醫藥衛生學門,51410.0
113年 7月,111年畢業,學士,醫藥衛生學門,49185.0
113年 7月,112年畢業,學士,醫藥衛生學門,47538.0
113年 7月,113年畢業,學士,醫藥衛生學門,42198.0
114年 1月,109年畢業,學士,醫藥衛生學門,54372.0
114年 1月,110年畢業,學士,醫藥衛生學門,53717.0
114年 1月,111年畢業,學士,醫藥衛生學門,50964.0
114年 1月,112年畢業,學士,醫藥衛生學門,51134.0
114年 1月,113年畢業,學士,醫藥衛生學門,45421.0
114年 7月,109年畢業,學士,醫藥衛生學門,55118.0
114年 7月,110年畢業,學士,醫藥衛生學門,55189.0
114年 7月,111年畢業,學士,醫藥衛生學門,52326.0
114年 7月,112年畢業,學士,醫藥衛生學門,52215.0
114年 7月,113年畢業,學士,醫藥衛生學門,49808.0
112年 1月,109年畢業,學士,社會福利學門,35171.0
112年 1月,110年畢業,學士,社會福利學門,34555.0
112年 1月,111年畢業,學士,社會福利學門,33585.0
112年 7月,109年畢業,學士,社會福利學門,35850.0
112年 7月,110年畢業,學士,社會福利學門,35078.0
112年 7月,111年畢業,學士,社會福利學門,34528.0
112年 7月,112年畢業,學士,社會福利學門,33112.0
113年 1月,109年畢業,學士,社會福利學門,37137.0
113年 1月,110年畢業,學士,社會福利學門,36470.0
113年 1月,111年畢業,學士,社會福利學門,35974.0
113年 1月,112年畢業,學士,社會福利學門,35004.0
113年 7月,109年畢業,學士,社會福利學門,38117.0
113年 7月,110年畢業,學士,社會福利學門,37368.0
113年 7月,111年畢業,學士,社會福利學門,36810.0
113年 7月,112年畢業,學士,社會福利學門,36161.0
113年 7月,113年畢業,學士,社會福利學門,34930.0
114年 1月,109年畢業,學士,社會福利學門,39550.0
114年 1月,110年畢業,學士,社會福利學門,38884.0
114年 1月,111年畢業,學士,社會福利學門,38218.0
114年 1月,112年畢業,學士,社會福利學門,37886.0
114年 1月,113年畢業,學士,社會福利學門,36824.0
114年 7月,109年畢業,學士,社會福利學門,40306.0
114年 7月,110年畢業,學士,社會福利學門,39701.0
114年 7月,111年畢業,學士,社會福利學門,38918.0
114年 7月,112年畢業,學士,社會福利學門,38783.0
114年 7月,113年畢業,學士,社會福利學門,37870.0
112年 1月,109年畢業,學士,餐旅及民生服務學門,32783.0
112年 1月,110年畢業,學士,餐旅及民生服務學門,31735.0
112年 1月,111年畢業,學士,餐旅及民生服務學門,30482.0
112年 7月,109年畢業,學士,餐旅及民生服務學門,33640.0
112年 7月,110年畢業,學士,餐旅及民生服務學門,32663.0
112年 7月,111年畢業,學士,餐旅及民生服務學門,31632.0
112年 7月,112年畢業,學士,餐旅及民生服務學門,31064.0
113年 1月,109年畢業,學士,餐旅及民生服務學門,35016.0
113年 1月,110年畢業,學士,餐旅及民生服務學門,34160.0
113年 1月,111年畢業,學士,餐旅及民生服務學門,33182.0
113年 1月,112年畢業,學士,餐旅及民生服務學門,32212.0
113年 7月,109年畢業,學士,餐旅及民生服務學門,36131.0
113年 7月,110年畢業,學士,餐旅及民生服務學門,35244.0
113年 7月,111年畢業,學士,餐旅及民生服務學門,34370.0
113年 7月,112年畢業,學士,餐旅及民生服務學門,33250.0
113年 7月,113年畢業,學士,餐旅及民生服務學門,32659.0
114年 1月,109年畢業,學士,餐旅及民生服務學門,37425.0
114年 1月,110年畢業,學士,餐旅及民生服務學門,36552.0
114年 1月,111年畢業,學士,餐旅及民生服務學門,35715.0
114年 1月,112年畢業,學士,餐旅及民生服務學門,34834.0
114年 1月,113年畢業,學士,餐旅及民生服務學門,33657.0
114年 7月,109年畢業,學士,餐旅及民生服務學門,38403.0
114年 7月,110年畢業,學士,餐旅及民生服務學門,37519.0
114年 7月,111年畢業,學士,餐旅及民生服務學門,36764.0
114年 7月,112年畢業,學士,餐旅及民生服務學門,35874.0
114年 7月,113年畢業,學士,餐旅及民生服務學門,34772.0
112年 1月,109年畢業,學士,衛生及職業衛生服務學門,36448.0
112年 1月,110年畢業,學士,衛生及職業衛生服務學門,35423.0
112年 1月,111年畢業,學士,衛生及職業衛生服務學門,34510.0
112年 7月,109年畢業,學士,衛生及職業衛生服務學門,37422.0
112年 7月,110年畢業,學士,衛生及職業衛生服務學門,36857.0
112年 7月,111年畢業,學士,衛生及職業衛生服務學門,36375.0
112年 7月,112年畢業,學士,衛生及職業衛生服務學門,34986.0
113年 1月,109年畢業,學士,衛生及職業衛生服務學門,39220.0
113年 1月,110年畢業,學士,衛生及職業衛生服務學門,38083.0
113年 1月,111年畢業,學士,衛生及職業衛生服務學門,38067.0
113年 1月,112年畢業,學士,衛生及職業衛生服務學門,36563.0
113年 7月,109年畢業,學士,衛生及職業衛生服務學門,40341.0
113年 7月,110年畢業,學士,衛生及職業衛生服務學門,39379.0
113年 7月,111年畢業,學士,衛生及職業衛生服務學門,39557.0
113年 7月,112年畢業,學士,衛生及職業衛生服務學門,37674.0
113年 7月,113年畢業,學士,衛生及職業衛生服務學門,34648.0
114年 1月,109年畢業,學士,衛生及職業衛生服務學門,42071.0
114年 1月,110年畢業,學士,衛生及職業衛生服務學門,40783.0
114年 1月,111年畢業,學士,衛生及職業衛生服務學門,41265.0
114年 1月,112年畢業,學士,衛生及職業衛生服務學門,38991.0
114年 1月,113年畢業,學士,衛生及職業衛生服務學門,36559.0
114年 7月,109年畢業,學士,衛生及職業衛生服務學門,43749.0
114年 7月,110年畢業,學士,衛生及職業衛生服務學門,41877.0
114年 7月,111年畢業,學士,衛生及職業衛生服務學門,42798.0
114年 7月,112年畢業,學士,衛生及職業衛生服務學門,40322.0
114年 7月,113年畢業,學士,衛生及職業衛生服務學門,38180.0
112年 1月,109年畢業,學士,安全服務學門,34875.0
112年 1月,110年畢業,學士,安全服務學門,33729.0
112年 1月,111年畢業,學士,安全服務學門,32082.0
112年 7月,109年畢業,學士,安全服務學門,36502.0
112年 7月,110年畢業,學士,安全服務學門,34875.0
112年 7月,111年畢業,學士,安全服務學門,32567.0
112年 7月,112年畢業,學士,安全服務學門,30902.0
113年 1月,109年畢業,學士,安全服務學門,37781.0
113年 1月,110年畢業,學士,安全服務學門,35974.0
113年 1月,111年畢業,學士,安全服務學門,33504.0
113年 1月,112年畢業,學士,安全服務學門,33827.0
113年 7月,109年畢業,學士,安全服務學門,38888.0
113年 7月,110年畢業,學士,安全服務學門,37600.0
113年 7月,111年畢業,學士,安全服務學門,35050.0
113年 7月,112年畢業,學士,安全服務學門,33826.0
113年 7月,113年畢業,學士,安全服務學門,33773.0
114年 1月,109年畢業,學士,安全服務學門,41176.0
114年 1月,110年畢業,學士,安全服務學門,39554.0
114年 1月,111年畢業,學士,安全服務學門,36454.0
114年 1月,112年畢業,學士,安全服務學門,36025.0
114年 1月,113年畢業,學士,安全服務學門,34517.0
114年 7月,109年畢業,學士,安全服務學門,41208.0
114年 7月,110年畢業,學士,安全服務學門,40265.0
114年 7月,111年畢業,學士,安全服務學門,37239.0
114年 7月,112年畢業,學士,安全服務學門,36759.0
114年 7月,113年畢業,學士,安全服務學門,35528.0
112年 1月,109年畢業,學士,運輸服務學門,38966.0
112年 1月,110年畢業,學士,運輸服務學門,36389.0
112年 1月,111年畢業,學士,運輸服務學門,34248.0
112年 7月,109年畢業,學士,運輸服務學門,40217.0
112年 7月,110年畢業,學士,運輸服務學門,37168.0
112年 7月,111年畢業,學士,運輸服務學門,36847.0
112年 7月,112年畢業,學士,運輸服務學門,33878.0
113年 1月,109年畢業,學士,運輸服務學門,41915.0
113年 1月,110年畢業,學士,運輸服務學門,39537.0
113年 1月,111年畢業,學士,運輸服務學門,38214.0
113年 1月,112年畢業,學士,運輸服務學門,35156.0
113年 7月,109年畢業,學士,運輸服務學門,43227.0
113年 7月,110年畢業,學士,運輸服務學門,40400.0
113年 7月,111年畢業,學士,運輸服務學門,40106.0
113年 7月,112年畢業,學士,運輸服務學門,38073.0
113年 7月,113年畢業,學士,運輸服務學門,36345.0
114年 1月,109年畢業,學士,運輸服務學門,44595.0
114年 1月,110年畢業,學士,運輸服務學門,42423.0
114年 1月,111年畢業,學士,運輸服務學門,41572.0
114年 1月,112年畢業,學士,運輸服務學門,39746.0
114年 1月,113年畢業,學士,運輸服務學門,37785.0
114年 7月,109年畢業,學士,運輸服務學門,47276.0
114年 7月,110年畢業,學士,運輸服務學門,43697.0
114年 7月,111年畢業,學士,運輸服務學門,44308.0
114年 7月,112年畢業,學士,運輸服務學門,42776.0
114年 7月,113年畢業,學士,運輸服務學門,40290.0
112年 1月,109年畢業,學士,其他學門,43395.0
112年 1月,110年畢業,學士,其他學門,44519.0
112年 1月,111年畢業,學士,其他學門,36073.0
112年 7月,109年畢業,學士,其他學門,49029.0
112年 7月,110年畢業,學士,其他學門,43714.0
112年 7月,111年畢業,學士,其他學門,39743.0
112年 7月,112年畢業,學士,其他學門,33965.0
113年 1月,109年畢業,學士,其他學門,48886.0
113年 1月,110年畢業,學士,其他學門,43239.0
113年 1月,111年畢業,學士,其他學門,42779.0
113年 1月,112年畢業,學士,其他學門,37965.0
113年 7月,109年畢業,學士,其他學門,49095.0
113年 7月,110年畢業,學士,其他學門,42544.0
113年 7月,111年畢業,學士,其他學門,43439.0
113年 7月,112年畢業,學士,其他學門,37069.0
113年 7月,113年畢業,學士,其他學門,38465.0
114年 1月,109年畢業,學士,其他學門,57533.0
114年 1月,110年畢業,學士,其他學門,46329.0
114年 1月,111年畢業,學士,其他學門,42481.0
114年 1月,112年畢業,學士,其他學門,39574.0
114年 1月,113年畢業,學士,其他學門,40839.0
114年 7月,109年畢業,學士,其他學門,57818.0
114年 7月,110年畢業,學士,其他學門,49708.0
114年 7月,111年畢業,學士,其他學門,44825.0
114年 7月,112年畢業,學士,其他學門,41749.0
114年 7月,113年畢業,學士,其他學門,40446.0
