學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,學生數,年份
2,國立清華大學,01115124,華德福教育碩士在職學位學程,N 職,M 碩士,16,109
2,國立清華大學,01121091,幼兒教育學系,D 日,M 碩士,63,109
2,國立清華大學,01121091,幼兒教育學系,N 職,M 碩士,61,109
2,國立清華大學,01131085,數理教育研究所,D 日,M 碩士,71,109
2,國立清華大學,01131085,數理教育研究所,N 職,M 碩士,93,109
2,國立清華大學,01131105,英語教學系,D 日,M 碩士,35,109
2,國立清華大學,01141090,體育學系,D 日,M 碩士,-,109
2,國立清華大學,01141090,體育學系體育碩士在職專班,N 職,M 碩士,-,109
2,國立清華大學,01141098,藝術與設計學系美勞教師碩士在職專班,N 職,M 碩士,46,109
2,國立清華大學,01141127,運動科學系,D 日,M 碩士,52,109
2,國立清華大學,01141127,運動科學系,N 職,M 碩士,54,109
2,國立清華大學,02131098,藝術與設計學系,D 日,M 碩士,81,109
2,國立清華大學,02151096,音樂學系,D 日,M 碩士,74,109
2,國立清華大學,02151096,音樂學系碩士在職專班,N 職,M 碩士,13,109
2,國立清華大學,02221006,歷史研究所,D 日,M 碩士,36,109
2,國立清華大學,02222007,人類學研究所,D 日,M 碩士,38,109
2,國立清華大學,02231008,哲學研究所,D 日,M 碩士,23,109
2,國立清華大學,02299009,亞際文化研究國際碩士學位學程(台灣聯合大學系統),D 日,M 碩士,8,109
2,國立清華大學,02311002,外國語文學系,D 日,M 碩士,31,109
2,國立清華大學,02321001,台灣文學研究所,D 日,M 碩士,44,109
2,國立清華大學,02321101,臺灣語言研究與教學研究所,D 日,M 碩士,66,109
2,國立清華大學,02322003,中國文學系,D 日,M 碩士,81,109
2,國立清華大學,02322109,中國語文學系,D 日,M 碩士,19,109
2,國立清華大學,02322109,中國語文學系碩士在職專班,N 職,M 碩士,23,109
2,國立清華大學,02323114,華文文學研究所,D 日,M 碩士,33,109
2,國立清華大學,02399005,語言學研究所,D 日,M 碩士,46,109
2,國立清華大學,03111011,經濟學系,D 日,M 碩士,51,109
2,國立清華大學,03131077,教育心理與諮商學系,D 日,M 碩士,144,109
2,國立清華大學,03131077,教育心理與諮商學系教育心理與諮商碩士在職專班,N 職,M 碩士,146,109
2,國立清華大學,03141012,社會學研究所,D 日,M 碩士,74,109
2,國立清華大學,03143013,台灣研究教師在職進修碩士學位班,N 職,M 碩士,66,109
2,國立清華大學,03199015,學習科學研究所,D 日,M 碩士,7,109
2,國立清華大學,03199111,學習科學與科技研究所,D 日,M 碩士,68,109
2,國立清華大學,04121019,科技管理學院財務金融碩士在職專班,N 職,M 碩士,63,109
2,國立清華大學,04121020,計量財務金融學系,D 日,M 碩士,42,109
2,國立清華大學,04131016,經營管理碩士在職專班,N 職,M 碩士,158,109
2,國立清華大學,04131018,國際專業管理碩士班,D 日,M 碩士,66,109
2,國立清華大學,04134014,科技管理學院公共政策與管理碩士在職專班,N 職,M 碩士,59,109
2,國立清華大學,04199017,科技管理研究所,D 日,M 碩士,58,109
2,國立清華大學,04199021,高階經營管理碩士在職專班,N 職,M 碩士,101,109
2,國立清華大學,04199022,服務科學研究所,D 日,M 碩士,52,109
2,國立清華大學,04212024,科技法律研究所,D 日,M 碩士,110,109
2,國立清華大學,05111106,應用科學系,D 日,M 碩士,-,109
2,國立清華大學,05121026,生物科技研究所,D 日,M 碩士,57,109
2,國立清華大學,05121028,分子與細胞生物研究所,D 日,M 碩士,42,109
2,國立清華大學,05121030,生物資訊與結構生物研究所,D 日,M 碩士,59,109
2,國立清華大學,05121072,分子醫學研究所,D 日,M 碩士,50,109
2,國立清華大學,05199033,系統神經科學研究所,D 日,M 碩士,25,109
2,國立清華大學,05211102,環境與文化資源學系,D 日,M 碩士,44,109
2,國立清華大學,05211102,環境與文化資源學系碩士在職專班,N 職,M 碩士,40,109
2,國立清華大學,05311037,化學系,D 日,M 碩士,184,109
2,國立清華大學,05331038,物理學系,D 日,M 碩士,167,109
2,國立清華大學,05332039,天文研究所,D 日,M 碩士,17,109
2,國立清華大學,05399040,先進光源科技碩士學位學程,D 日,M 碩士,17,109
2,國立清華大學,05399121,分析與環境科學研究所,D 日,M 碩士,33,109
2,國立清華大學,05411043,數學系,D 日,M 碩士,51,109
2,國立清華大學,05411092,應用數學系,D 日,M 碩士,-,109
2,國立清華大學,05411115,計算與建模科學研究所,D 日,M 碩士,25,109
2,國立清華大學,05421044,統計學研究所,D 日,M 碩士,53,109
2,國立清華大學,06131053,資訊工程學系,D 日,M 碩士,393,109
2,國立清華大學,06131122,資訊安全研究所,D 日,M 碩士,25,109
2,國立清華大學,06134046,資訊系統與應用研究所,D 日,M 碩士,141,109
2,國立清華大學,07111057,化學工程學系,D 日,M 碩士,164,109
2,國立清華大學,07112058,材料科學工程學系,D 日,M 碩士,273,109
2,國立清華大學,07131068,核子工程與科學研究所,D 日,M 碩士,39,109
2,國立清華大學,07141049,電機工程學系,D 日,M 碩士,402,109
