統計期,畢業年,學位,學門,薪資
113年 7月,113年畢業,博士,醫藥衛生學門,91616.0
114年 1月,109年畢業,博士,醫藥衛生學門,90338.0
114年 1月,110年畢業,博士,醫藥衛生學門,86843.0
114年 1月,111年畢業,博士,醫藥衛生學門,82977.0
114年 1月,112年畢業,博士,醫藥衛生學門,77351.0
114年 1月,113年畢業,博士,醫藥衛生學門,80206.0
114年 7月,109年畢業,博士,醫藥衛生學門,91204.0
114年 7月,110年畢業,博士,醫藥衛生學門,90702.0
114年 7月,111年畢業,博士,醫藥衛生學門,87771.0
114年 7月,112年畢業,博士,醫藥衛生學門,81596.0
114年 7月,113年畢業,博士,醫藥衛生學門,83179.0
112年 1月,109年畢業,博士,社會福利學門,
112年 1月,110年畢業,博士,社會福利學門,
112年 1月,111年畢業,博士,社會福利學門,
112年 7月,109年畢業,博士,社會福利學門,
112年 7月,110年畢業,博士,社會福利學門,
112年 7月,111年畢業,博士,社會福利學門,
112年 7月,112年畢業,博士,社會福利學門,
113年 1月,109年畢業,博士,社會福利學門,
113年 1月,110年畢業,博士,社會福利學門,
113年 1月,111年畢業,博士,社會福利學門,
113年 1月,112年畢業,博士,社會福利學門,
113年 7月,109年畢業,博士,社會福利學門,
113年 7月,110年畢業,博士,社會福利學門,
113年 7月,111年畢業,博士,社會福利學門,
113年 7月,112年畢業,博士,社會福利學門,
113年 7月,113年畢業,博士,社會福利學門,
114年 1月,109年畢業,博士,社會福利學門,
114年 1月,110年畢業,博士,社會福利學門,
114年 1月,111年畢業,博士,社會福利學門,
114年 1月,112年畢業,博士,社會福利學門,
114年 1月,113年畢業,博士,社會福利學門,
114年 7月,109年畢業,博士,社會福利學門,
114年 7月,110年畢業,博士,社會福利學門,
114年 7月,111年畢業,博士,社會福利學門,
114年 7月,112年畢業,博士,社會福利學門,
114年 7月,113年畢業,博士,社會福利學門,
112年 1月,109年畢業,博士,餐旅及民生服務學門,
112年 1月,110年畢業,博士,餐旅及民生服務學門,
112年 1月,111年畢業,博士,餐旅及民生服務學門,
112年 7月,109年畢業,博士,餐旅及民生服務學門,
112年 7月,110年畢業,博士,餐旅及民生服務學門,
112年 7月,111年畢業,博士,餐旅及民生服務學門,
112年 7月,112年畢業,博士,餐旅及民生服務學門,
113年 1月,109年畢業,博士,餐旅及民生服務學門,
113年 1月,110年畢業,博士,餐旅及民生服務學門,
113年 1月,111年畢業,博士,餐旅及民生服務學門,
113年 1月,112年畢業,博士,餐旅及民生服務學門,
113年 7月,109年畢業,博士,餐旅及民生服務學門,
113年 7月,110年畢業,博士,餐旅及民生服務學門,
113年 7月,111年畢業,博士,餐旅及民生服務學門,
113年 7月,112年畢業,博士,餐旅及民生服務學門,
113年 7月,113年畢業,博士,餐旅及民生服務學門,
114年 1月,109年畢業,博士,餐旅及民生服務學門,
114年 1月,110年畢業,博士,餐旅及民生服務學門,
114年 1月,111年畢業,博士,餐旅及民生服務學門,
114年 1月,112年畢業,博士,餐旅及民生服務學門,
114年 1月,113年畢業,博士,餐旅及民生服務學門,
114年 7月,109年畢業,博士,餐旅及民生服務學門,
114年 7月,110年畢業,博士,餐旅及民生服務學門,
114年 7月,111年畢業,博士,餐旅及民生服務學門,
114年 7月,112年畢業,博士,餐旅及民生服務學門,
114年 7月,113年畢業,博士,餐旅及民生服務學門,
112年 1月,109年畢業,博士,衛生及職業衛生服務學門,
112年 1月,110年畢業,博士,衛生及職業衛生服務學門,
112年 1月,111年畢業,博士,衛生及職業衛生服務學門,
112年 7月,109年畢業,博士,衛生及職業衛生服務學門,
112年 7月,110年畢業,博士,衛生及職業衛生服務學門,
112年 7月,111年畢業,博士,衛生及職業衛生服務學門,
112年 7月,112年畢業,博士,衛生及職業衛生服務學門,
113年 1月,109年畢業,博士,衛生及職業衛生服務學門,
113年 1月,110年畢業,博士,衛生及職業衛生服務學門,
113年 1月,111年畢業,博士,衛生及職業衛生服務學門,
113年 1月,112年畢業,博士,衛生及職業衛生服務學門,
113年 7月,109年畢業,博士,衛生及職業衛生服務學門,
113年 7月,110年畢業,博士,衛生及職業衛生服務學門,
113年 7月,111年畢業,博士,衛生及職業衛生服務學門,
113年 7月,112年畢業,博士,衛生及職業衛生服務學門,
113年 7月,113年畢業,博士,衛生及職業衛生服務學門,
114年 1月,109年畢業,博士,衛生及職業衛生服務學門,
114年 1月,110年畢業,博士,衛生及職業衛生服務學門,
114年 1月,111年畢業,博士,衛生及職業衛生服務學門,
114年 1月,112年畢業,博士,衛生及職業衛生服務學門,
114年 1月,113年畢業,博士,衛生及職業衛生服務學門,
114年 7月,109年畢業,博士,衛生及職業衛生服務學門,
114年 7月,110年畢業,博士,衛生及職業衛生服務學門,
114年 7月,111年畢業,博士,衛生及職業衛生服務學門,
114年 7月,112年畢業,博士,衛生及職業衛生服務學門,
114年 7月,113年畢業,博士,衛生及職業衛生服務學門,
112年 1月,109年畢業,博士,安全服務學門,
112年 1月,110年畢業,博士,安全服務學門,
112年 1月,111年畢業,博士,安全服務學門,
112年 7月,109年畢業,博士,安全服務學門,
112年 7月,110年畢業,博士,安全服務學門,
112年 7月,111年畢業,博士,安全服務學門,
112年 7月,112年畢業,博士,安全服務學門,
113年 1月,109年畢業,博士,安全服務學門,
113年 1月,110年畢業,博士,安全服務學門,
113年 1月,111年畢業,博士,安全服務學門,
113年 1月,112年畢業,博士,安全服務學門,
113年 7月,109年畢業,博士,安全服務學門,
113年 7月,110年畢業,博士,安全服務學門,
113年 7月,111年畢業,博士,安全服務學門,
113年 7月,112年畢業,博士,安全服務學門,
113年 7月,113年畢業,博士,安全服務學門,
114年 1月,109年畢業,博士,安全服務學門,
114年 1月,110年畢業,博士,安全服務學門,
114年 1月,111年畢業,博士,安全服務學門,
114年 1月,112年畢業,博士,安全服務學門,
114年 1月,113年畢業,博士,安全服務學門,
114年 7月,109年畢業,博士,安全服務學門,
114年 7月,110年畢業,博士,安全服務學門,
114年 7月,111年畢業,博士,安全服務學門,
114年 7月,112年畢業,博士,安全服務學門,
114年 7月,113年畢業,博士,安全服務學門,
112年 1月,109年畢業,博士,運輸服務學門,
112年 1月,110年畢業,博士,運輸服務學門,
112年 1月,111年畢業,博士,運輸服務學門,
112年 7月,109年畢業,博士,運輸服務學門,
112年 7月,110年畢業,博士,運輸服務學門,
112年 7月,111年畢業,博士,運輸服務學門,
112年 7月,112年畢業,博士,運輸服務學門,
113年 1月,109年畢業,博士,運輸服務學門,
113年 1月,110年畢業,博士,運輸服務學門,
113年 1月,111年畢業,博士,運輸服務學門,
113年 1月,112年畢業,博士,運輸服務學門,
113年 7月,109年畢業,博士,運輸服務學門,
113年 7月,110年畢業,博士,運輸服務學門,
113年 7月,111年畢業,博士,運輸服務學門,
113年 7月,112年畢業,博士,運輸服務學門,
113年 7月,113年畢業,博士,運輸服務學門,
114年 1月,109年畢業,博士,運輸服務學門,
114年 1月,110年畢業,博士,運輸服務學門,
114年 1月,111年畢業,博士,運輸服務學門,
114年 1月,112年畢業,博士,運輸服務學門,
114年 1月,113年畢業,博士,運輸服務學門,
114年 7月,109年畢業,博士,運輸服務學門,
114年 7月,110年畢業,博士,運輸服務學門,
114年 7月,111年畢業,博士,運輸服務學門,
114年 7月,112年畢業,博士,運輸服務學門,
114年 7月,113年畢業,博士,運輸服務學門,
112年 1月,109年畢業,博士,其他學門,
112年 1月,110年畢業,博士,其他學門,
112年 1月,111年畢業,博士,其他學門,
112年 7月,109年畢業,博士,其他學門,
112年 7月,110年畢業,博士,其他學門,
112年 7月,111年畢業,博士,其他學門,
112年 7月,112年畢業,博士,其他學門,
113年 1月,109年畢業,博士,其他學門,
113年 1月,110年畢業,博士,其他學門,
113年 1月,111年畢業,博士,其他學門,
113年 1月,112年畢業,博士,其他學門,
113年 7月,109年畢業,博士,其他學門,
113年 7月,110年畢業,博士,其他學門,
113年 7月,111年畢業,博士,其他學門,
113年 7月,112年畢業,博士,其他學門,
113年 7月,113年畢業,博士,其他學門,
114年 1月,109年畢業,博士,其他學門,
114年 1月,110年畢業,博士,其他學門,
114年 1月,111年畢業,博士,其他學門,
114年 1月,112年畢業,博士,其他學門,
114年 1月,113年畢業,博士,其他學門,
114年 7月,109年畢業,博士,其他學門,
114年 7月,110年畢業,博士,其他學門,
114年 7月,111年畢業,博士,其他學門,
114年 7月,112年畢業,博士,其他學門,
114年 7月,113年畢業,博士,其他學門,
