學年度,學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,學生數,教師數,上學年度畢業生數,縣市名稱,體系別
113,0001,國立政治大學,02311011,日本語文學系,D 日,M 碩士,20,0,8,30 臺北市,1 一般
113,0001,國立政治大學,02311011,日本語文學系,D 日,B 學士,162,9,44,30 臺北市,1 一般
113,0001,國立政治大學,02311012,阿拉伯語文學系,D 日,B 學士,168,7,32,30 臺北市,1 一般
113,0001,國立政治大學,02311014,韓國語文學系,D 日,M 碩士,24,0,4,30 臺北市,1 一般
113,0001,國立政治大學,02311014,韓國語文學系,D 日,B 學士,153,9,38,30 臺北市,1 一般
113,0001,國立政治大學,02311015,土耳其語文學系,D 日,B 學士,115,7,26,30 臺北市,1 一般
113,0001,國立政治大學,02311016,歐洲語文學系,D 日,B 學士,264,12,55,30 臺北市,1 一般
113,0001,國立政治大學,02311017,斯拉夫語文學系,D 日,M 碩士,12,0,2,30 臺北市,1 一般
113,0001,國立政治大學,02311017,斯拉夫語文學系,D 日,B 學士,198,14,39,30 臺北市,1 一般
113,0001,國立政治大學,02311087,東南亞語言與文化學士學位學程,D 日,B 學士,0,0,19,30 臺北市,1 一般
113,0001,國立政治大學,02311099,東南亞語文學系,D 日,B 學士,187,8,0,30 臺北市,1 一般
113,0001,國立政治大學,02321007,台灣文學研究所,D 日,D 博士,13,0,0,30 臺北市,1 一般
113,0001,國立政治大學,02321007,台灣文學研究所,D 日,M 碩士,35,7,8,30 臺北市,1 一般
113,0001,國立政治大學,02322008,中國文學系,D 日,D 博士,47,0,9,30 臺北市,1 一般
113,0001,國立政治大學,02322008,中國文學系,D 日,M 碩士,82,0,23,30 臺北市,1 一般
113,0001,國立政治大學,02322008,中國文學系國文教學碩士在職專班,N 職,M 碩士,67,0,9,30 臺北市,1 一般
113,0001,國立政治大學,02322008,中國文學系,D 日,B 學士,339,30,60,30 臺北市,1 一般
113,0001,國立政治大學,02323002,華語文教學博士學位學程,D 日,D 博士,12,0,1,30 臺北市,1 一般
113,0001,國立政治大學,02323002,華語文教學碩士學位學程,D 日,M 碩士,64,5,17,30 臺北市,1 一般
